作物名称,地块类型,2023价格,2024价格,2025价格,2026价格,2027价格,2028价格,2029价格,2030价格
芸豆,普通大棚 ,6,6.3,6.615,,,,,
芸豆,智慧大棚,7.2,7.56,7.938,,,,,
玉米,平旱地,3.083333333,3.083333333,3.083333333,,,,,
玉米,梯田,3.083333333,3.083333333,3.083333333,,,,,
榆黄菇,普通大棚 ,56.875,54.66714589,52.54499937,,,,,
莜麦,梯田,5.583333333,5.583333333,5.583333333,,,,,
油麦菜,普通大棚 ,4.666666667,4.9,5.145,,,,,
羊肚菌,普通大棚 ,98.33333333,93.41666667,88.74583333,,,,,
小青菜,水浇地,5.5,5.775,6.06375,,,,,
小青菜,普通大棚 ,5.5,5.775,6.06375,,,,,
小青菜,智慧大棚,6.6,6.93,7.2765,,,,,
小麦,平旱地,3.583333333,3.583333333,3.583333333,,,,,
小麦,梯田,3.583333333,3.583333333,3.583333333,,,,,
小麦,山坡地,3.583333333,3.583333333,3.583333333,,,,,
香菇,普通大棚 ,18.91666667,18.66955689,18.42567512,,,,,
西红柿,水浇地,5.833333333,6.125,6.43125,,,,,
西红柿,普通大棚 ,5.833333333,6.125,6.43125,,,,,
西红柿,智慧大棚,7,7.35,7.7175,,,,,
土豆,水浇地,3.5,3.675,3.85875,,,,,
水稻,水浇地,7.166666667,7.166666667,7.166666667,,,,,
黍子,梯田,7.666666667,7.666666667,7.666666667,,,,,
生菜,普通大棚 ,5,10.25,21.550625,,,,,
生菜,智慧大棚,6,12.3,25.86075,,,,,
青椒,普通大棚 ,4.833333333,5.075,5.32875,,,,,
青椒,智慧大棚,6.466666667,6.79,7.1295,,,,,
芹菜,智慧大棚,4.466666667,4.69,4.9245,,,,,
茄子,水浇地,5.333333333,5.6,5.88,,,,,
茄子,普通大棚 ,5.333333333,5.6,5.88,,,,,
茄子,智慧大棚,6.4,6.72,7.056,,,,,
荞麦,山坡地,41.66666667,41.66666667,41.66666667,,,,,
爬豆,梯田,6.875,7.21875,7.958671875,,,,,
南瓜,山坡地,1.583333333,1.6625,1.745625,,,,,
绿豆,平旱地,7.166666667,7.525,8.2963125,,,,,
绿豆,梯田,7.166666667,7.525,8.2963125,,,,,
辣椒,普通大棚 ,6.833333333,7.175,7.53375,,,,,
空心菜,智慧大棚,4.8,5.04,5.292,,,,,
豇豆,水浇地,7.666666667,8.05,8.4525,,,,,
豇豆,普通大棚 ,7.666666667,8.05,8.4525,,,,,
豇豆,智慧大棚,9.2,9.66,10.143,,,,,
黄心菜,智慧大棚,5.2,5.46,5.733,,,,,
黄瓜,普通大棚 ,6.666666667,7,7.35,,,,,
黄瓜,智慧大棚,8,8.4,8.82,,,,,
黄豆,平旱地,3.375,3.54375,3.906984375,,,,,
黄豆,梯田,3.375,3.54375,3.906984375,,,,,
黄豆,山坡地,3.375,3.54375,3.906984375,,,,,
红薯,山坡地,3.375,3.54375,3.7209375,,,,,
红萝卜,水浇地,3,3.15,3.3075,,,,,
红豆,梯田,8.375,8.79375,9.695109375,,,,,
红豆,山坡地,8.375,8.79375,9.695109375,,,,,
黑豆,梯田,7.666666667,8.05,8.875125,,,,,
谷子,平旱地,6.875,6.875,6.875,,,,,
谷子,梯田,6.875,6.875,6.875,,,,,
高粱,梯田,6.083333333,6.083333333,6.083333333,,,,,
刀豆,水浇地,6.333333333,6.65,6.9825,,,,,
刀豆,普通大棚 ,6.333333333,6.65,6.9825,,,,,
大麦,梯田,3.583333333,3.583333333,3.583333333,,,,,
大白菜,水浇地,2.333333333,2.45,2.5725,,,,,
菜花,普通大棚 ,5.333333333,5.6,5.88,,,,,
菜花,智慧大棚,6.4,6.72,7.056,,,,,
菠菜,智慧大棚,6.533333333,6.86,7.56315,,,,,
包菜,普通大棚 ,6.166666667,6.475,6.79875,,,,,
包菜,智慧大棚,7.4,7.77,8.1585,,,,,
白萝卜,水浇地,2.333333333,2.45,2.5725,,,,,
白灵菇,普通大棚 ,15.83333333,15.38123346,14.94204271,,,,,
